Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
5.023863e-02,3.510043e-04,1.211918e-02,6.055326e-02,1.420733e-01,2.598024e-01,3.233395e-01,2.017613e-01,0.000000e+00,0.000000e+00
5.027003e-02,3.521070e-04,1.214837e-02,6.065214e-02,1.422013e-01,2.598682e-01,3.232182e-01,2.015596e-01,0.000000e+00,0.000000e+00
5.030143e-02,3.532124e-04,1.217761e-02,6.075109e-02,1.423294e-01,2.599338e-01,3.230969e-01,2.013581e-01,0.000000e+00,0.000000e+00
5.033283e-02,3.543204e-04,1.220689e-02,6.085010e-02,1.424573e-01,2.599992e-01,3.229754e-01,2.011567e-01,0.000000e+00,0.000000e+00
5.036423e-02,3.554311e-04,1.223622e-02,6.094918e-02,1.425852e-01,2.600644e-01,3.228539e-01,2.009556e-01,0.000000e+00,0.000000e+00
5.039563e-02,3.565444e-04,1.226559e-02,6.104832e-02,1.427131e-01,2.601295e-01,3.227323e-01,2.007547e-01,0.000000e+00,0.000000e+00
5.042703e-02,3.576604e-04,1.229502e-02,6.114753e-02,1.428409e-01,2.601943e-01,3.226106e-01,2.005539e-01,0.000000e+00,0.000000e+00
5.045843e-02,3.587790e-04,1.232448e-02,6.124681e-02,1.429686e-01,2.602590e-01,3.224889e-01,2.003534e-01,0.000000e+00,0.000000e+00
5.048983e-02,3.599004e-04,1.235400e-02,6.134616e-02,1.430963e-01,2.603235e-01,3.223671e-01,2.001531e-01,0.000000e+00,0.000000e+00
5.052123e-02,3.610244e-04,1.238356e-02,6.144557e-02,1.432240e-01,2.603878e-01,3.222451e-01,1.999529e-01,0.000000e+00,0.000000e+00
5.055262e-02,3.621511e-04,1.241317e-02,6.154505e-02,1.433516e-01,2.604519e-01,3.221231e-01,1.997530e-01,0.000000e+00,0.000000e+00
5.058402e-02,3.632806e-04,1.244283e-02,6.164459e-02,1.434791e-01,2.605158e-01,3.220011e-01,1.995533e-01,0.000000e+00,0.000000e+00
5.061542e-02,3.644127e-04,1.247254e-02,6.174420e-02,1.436066e-01,2.605796e-01,3.218789e-01,1.993537e-01,0.000000e+00,0.000000e+00
5.064682e-02,3.655476e-04,1.250229e-02,6.184388e-02,1.437341e-01,2.606431e-01,3.217567e-01,1.991544e-01,0.000000e+00,0.000000e+00
5.067822e-02,3.666852e-04,1.253209e-02,6.194362e-02,1.438615e-01,2.607065e-01,3.216344e-01,1.989553e-01,0.000000e+00,0.000000e+00
5.070962e-02,3.678255e-04,1.256193e-02,6.204343e-02,1.439888e-01,2.607697e-01,3.215120e-01,1.987563e-01,0.000000e+00,0.000000e+00
5.074102e-02,3.689684e-04,1.259183e-02,6.214330e-02,1.441161e-01,2.608327e-01,3.213896e-01,1.985576e-01,0.000000e+00,0.000000e+00
5.077242e-02,3.701141e-04,1.262177e-02,6.224324e-02,1.442433e-01,2.608955e-01,3.212670e-01,1.983590e-01,0.000000e+00,0.000000e+00
5.080382e-02,3.712625e-04,1.265176e-02,6.234324e-02,1.443705e-01,2.609581e-01,3.211444e-01,1.981607e-01,0.000000e+00,0.000000e+00
5.083522e-02,3.724136e-04,1.268179e-02,6.244331e-02,1.444976e-01,2.610206e-01,3.210218e-01,1.979626e-01,0.000000e+00,0.000000e+00
5.086662e-02,3.735675e-04,1.271187e-02,6.254345e-02,1.446247e-01,2.610828e-01,3.208990e-01,1.977646e-01,0.000000e+00,0.000000e+00
5.089802e-02,3.747240e-04,1.274200e-02,6.264365e-02,1.447517e-01,2.611449e-01,3.207762e-01,1.975669e-01,0.000000e+00,0.000000e+00
5.092941e-02,3.758833e-04,1.277218e-02,6.274392e-02,1.448786e-01,2.612068e-01,3.206533e-01,1.973693e-01,0.000000e+00,0.000000e+00
5.096081e-02,3.770455e-04,1.280240e-02,6.284425e-02,1.450055e-01,2.612685e-01,3.205303e-01,1.971720e-01,0.000000e+00,0.000000e+00
5.099221e-02,3.782104e-04,1.283268e-02,6.294465e-02,1.451324e-01,2.613300e-01,3.204072e-01,1.969748e-01,0.000000e+00,0.000000e+00
5.102361e-02,3.793780e-04,1.286300e-02,6.304511e-02,1.452592e-01,2.613914e-01,3.202841e-01,1.967779e-01,0.000000e+00,0.000000e+00
5.105501e-02,3.805484e-04,1.289336e-02,6.314564e-02,1.453859e-01,2.614525e-01,3.201609e-01,1.965811e-01,0.000000e+00,0.000000e+00
5.108641e-02,3.817215e-04,1.292378e-02,6.324623e-02,1.455126e-01,2.615135e-01,3.200376e-01,1.963846e-01,0.000000e+00,0.000000e+00
5.111781e-02,3.828974e-04,1.295424e-02,6.334689e-02,1.456392e-01,2.615743e-01,3.199142e-01,1.961882e-01,0.000000e+00,0.000000e+00
5.114921e-02,3.840761e-04,1.298475e-02,6.344761e-02,1.457658e-01,2.616349e-01,3.197908e-01,1.959920e-01,0.000000e+00,0.000000e+00
5.118061e-02,3.852575e-04,1.301531e-02,6.354840e-02,1.458923e-01,2.616953e-01,3.196673e-01,1.957960e-01,0.000000e+00,0.000000e+00
5.121201e-02,3.864417e-04,1.304591e-02,6.364925e-02,1.460188e-01,2.617556e-01,3.195437e-01,1.956003e-01,0.000000e+00,0.000000e+00
5.124341e-02,3.876287e-04,1.307656e-02,6.375017e-02,1.461452e-01,2.618156e-01,3.194201e-01,1.954047e-01,0.000000e+00,0.000000e+00
5.127481e-02,3.888184e-04,1.310726e-02,6.385115e-02,1.462716e-01,2.618755e-01,3.192964e-01,1.952093e-01,0.000000e+00,0.000000e+00
5.130620e-02,3.900109e-04,1.313801e-02,6.395219e-02,1.463979e-01,2.619352e-01,3.191726e-01,1.950141e-01,0.000000e+00,0.000000e+00
5.133760e-02,3.912064e-04,1.316881e-02,6.405330e-02,1.465241e-01,2.619947e-01,3.190487e-01,1.948191e-01,0.000000e+00,0.000000e+00
5.136900e-02,3.924046e-04,1.319965e-02,6.415448e-02,1.466503e-01,2.620540e-01,3.189248e-01,1.946243e-01,0.000000e+00,0.000000e+00
5.140040e-02,3.936056e-04,1.323054e-02,6.425571e-02,1.467764e-01,2.621132e-01,3.188008e-01,1.944297e-01,0.000000e+00,0.000000e+00
5.143180e-02,3.948095e-04,1.326148e-02,6.435701e-02,1.469025e-01,2.621722e-01,3.186767e-01,1.942353e-01,0.000000e+00,0.000000e+00
5.146320e-02,3.960161e-04,1.329247e-02,6.445838e-02,1.470285e-01,2.622309e-01,3.185526e-01,1.940411e-01,0.000000e+00,0.000000e+00
